,PX_VOLUME
2017-10-10,664839
2017-10-11,651948
2017-10-12,729273
2017-10-13,667497
2017-10-16,520725
2017-10-17,471612
2017-10-18,152620
2017-10-19,127413
2017-10-20,32960
2017-10-23,583563
2017-10-24,709553
2017-10-25,681739
2017-10-26,594647
2017-10-27,730915
2017-10-30,565043
2017-10-31,497295
2017-11-01,671038
2017-11-02,482846
2017-11-03,614159
2017-11-06,861713
2017-11-07,750187
2017-11-08,919147
2017-11-09,666949
2017-11-10,541296
2017-11-13,631619
2017-11-14,707338
2017-11-15,501385
2017-11-16,213923
2017-11-17,184944
2017-11-20,37702
2017-11-21,619066
2017-11-22,837411
2017-11-23,837411
2017-11-24,577826
2017-11-27,690078
2017-11-28,546526
2017-11-29,741564
2017-11-30,735128
2017-12-01,685215
2017-12-04,529965
2017-12-05,499245
2017-12-06,678992
2017-12-07,557325
2017-12-08,681599
2017-12-11,606724
2017-12-12,826488
2017-12-13,658143
2017-12-14,580571
2017-12-15,210054
2017-12-18,137151
2017-12-19,36286
2017-12-20,420844
2017-12-21,405320
2017-12-22,324554
2017-12-25,324554
2017-12-26,437785
2017-12-27,402396
2017-12-28,345962
2017-12-29,464478
2018-01-01,464478
2018-01-02,510313
2018-01-03,673859
2018-01-04,654363
2018-01-05,563036
2018-01-08,616474
2018-01-09,844720
2018-01-10,697844
2018-01-11,876642
2018-01-12,678727
2018-01-15,678727
2018-01-16,867771
2018-01-17,444384
2018-01-18,204504
2018-01-19,142711
2018-01-22,40061
2018-01-23,662456
2018-01-24,887018
2018-01-25,771758
2018-01-26,678186
2018-01-29,656168
2018-01-30,688380
2018-01-31,613258
2018-02-01,685750
2018-02-02,857572
2018-02-05,891063
2018-02-06,797814
2018-02-07,1029408
2018-02-08,929578
2018-02-09,933307
2018-02-12,736917
2018-02-13,580600
2018-02-14,650324
2018-02-15,340401
2018-02-16,181179
2018-02-19,181179
2018-02-20,50208
2018-02-21,466924
2018-02-22,592603
2018-02-23,460597
