,XOM,MRO,OXY
2016-09-02,7099643,12584570,3458329
2016-09-05,7099643,12584570,3458329
2016-09-06,9851167,10021699,3978784
2016-09-07,7470375,12819115,3881746
2016-09-08,9579545,26230460,5019188
2016-09-09,12820202,17156477,4496719
2016-09-12,10889025,18951216,4638156
2016-09-13,13214321,28846461,5846527
2016-09-14,13957013,18840440,5624230
2016-09-15,9251913,12228557,5345299
2016-09-16,21538409,12956549,5411328
2016-09-19,7929097,12868796,4220492
2016-09-20,17521975,15967243,4338276
2016-09-21,15055917,18859273,4294496
2016-09-22,10738519,17035255,5204033
2016-09-23,12667106,22031468,5802054
2016-09-26,10860320,11912969,4688338
2016-09-27,9595020,16028688,4862235
2016-09-28,28117871,30979904,8044779
2016-09-29,19082873,34965511,6467699
2016-09-30,15961506,19307897,5110508
2016-10-03,7111178,10465332,3002177
2016-10-04,8222033,13750511,4532664
2016-10-05,8796215,17660818,4196919
2016-10-06,7718259,13514864,5269391
2016-10-07,6614908,16881090,3117585
2016-10-10,10060038,10553600,3766355
2016-10-11,9309029,15994673,3694799
2016-10-12,8172591,11785992,4128936
2016-10-13,9890258,12611413,4573963
2016-10-14,7991654,11115834,4494213
2016-10-17,7263061,13373589,5608542
2016-10-18,5429319,15738420,3814006
2016-10-19,9373416,15798523,5840676
2016-10-20,6866873,12850494,4088581
2016-10-21,10736170,8355031,4983840
2016-10-24,8354850,10074888,6117164
2016-10-25,6835886,9830522,4943788
2016-10-26,8488064,13519784,3678010
2016-10-27,9071099,18435265,4124652
2016-10-28,19072186,19045807,5822963
2016-10-31,16663771,16153837,4722121
2016-11-01,13050607,16540223,13046981
2016-11-02,11226097,26197426,5810259
2016-11-03,8836546,38327534,7863005
2016-11-04,13877124,29039646,7713947
2016-11-07,13576246,16077005,5855527
2016-11-08,9735164,11009255,4283334
2016-11-09,15901269,22354113,8582876
2016-11-10,14106227,19249962,9215391
2016-11-11,13812176,13642070,7290243
2016-11-14,12607502,15132705,8700334
2016-11-15,12883542,20432718,7443275
2016-11-16,8201169,16469427,7106373
2016-11-17,8200464,17795688,6668040
2016-11-18,8457804,13993762,5490189
2016-11-21,8861469,19714327,4330943
2016-11-22,9390248,17922551,5663108
2016-11-23,6061281,11231579,3958455
2016-11-24,6061281,11231579,3958455
2016-11-25,5043042,7921576,1319206
2016-11-28,7449634,20131745,3836731
2016-11-29,9181096,20300474,3976060
2016-11-30,22696209,74592364,9434899
2016-12-01,13005560,36112885,5690820
2016-12-02,9706646,16678730,4153338
2016-12-05,11741074,14032091,4933441
2016-12-06,11293620,13954503,4643750
2016-12-07,11182628,14177750,8381761
2016-12-08,9086715,14506414,6258052
2016-12-09,8021683,10999743,4563450
2016-12-12,15545409,21518418,5439494
2016-12-13,18829345,18022920,4355549
2016-12-14,16325355,21318969,3741185
2016-12-15,11155111,18064028,4855325
2016-12-16,20560435,20606480,9264720
2016-12-19,9674437,10731702,3490879
2016-12-20,7221041,10116033,2953084
2016-12-21,7308044,8167334,2450882
2016-12-22,8003106,9169496,3700583
2016-12-23,4266541,7624357,2344256
2016-12-26,4266541,7624357,2344256
2016-12-27,4960556,5384102,2200529
2016-12-28,6745940,8333827,2373358
2016-12-29,6684661,7019998,1939727
2016-12-30,9117830,7920492,2641605
2017-01-02,9117830,7920492,2641605
2017-01-03,10360622,13525956,4393600
2017-01-04,9434240,9323117,4151373
2017-01-05,14443183,9764740,4769923
2017-01-06,16518128,7807763,3935597
2017-01-09,13762259,8866686,5543707
2017-01-10,13283083,6969475,3993244
2017-01-11,11183689,9787363,6423151
2017-01-12,10407049,10282420,5343581
2017-01-13,8415603,5406827,3739757
2017-01-16,8415603,5406827,3739757
2017-01-17,13237348,6865047,3776391
2017-01-18,11831695,9286678,3659302
2017-01-19,16382903,6267139,3901113
2017-01-20,18739659,11179169,4239082
2017-01-23,11433897,9514775,3129426
2017-01-24,11858111,8316047,4946787
2017-01-25,9578522,8053516,6147386
2017-01-26,8779446,6978412,3698706
2017-01-27,10947882,6444456,3836483
2017-01-30,12789183,13623395,4550978
2017-01-31,19128106,10892719,5538449
2017-02-01,15111832,11449083,3975702
2017-02-02,12200100,9235813,4889780
2017-02-03,12746286,12758614,4069430
2017-02-06,9938198,9566020,3799313
2017-02-07,11705199,14647836,4857230
2017-02-08,14006281,13282283,5676701
2017-02-09,9602988,8911580,6778515
2017-02-10,8739814,11992619,7394535
2017-02-13,9071638,14778846,6123996
2017-02-14,11370525,11092094,8696997
2017-02-15,11768513,13241260,4673912
2017-02-16,10614956,23882206,4905177
2017-02-17,15645973,13921148,5259157
2017-02-20,15645973,13921148,5259157
2017-02-21,16419612,13302165,4796142
